2025-07-17 23:38:51,043 - ERROR - cache - Cache verification failed for user 4: expected balance=19815.43000000, margin=3249.78, cached balance=19815.43000000, margin=3249.78
2025-07-17 23:38:51,051 - ERROR - cache - User 5 not found in database
2025-07-17 23:38:51,062 - ERROR - cache - Cache verification failed for user 8: expected balance=0E-8, margin=0.0, cached balance=0E-8, margin=0.0
2025-07-17 23:38:51,074 - ERROR - cache - Cache verification failed for user 9: expected balance=8436.59000000, margin=8271.68, cached balance=8436.59000000, margin=8271.68
2025-07-17 23:38:51,085 - ERROR - cache - Cache verification failed for user 10: expected balance=9707.74000000, margin=0.0, cached balance=9707.74000000, margin=0.0
2025-07-17 23:38:51,094 - ERROR - cache - Cache verification failed for user 11: expected balance=14420.38000000, margin=0.0, cached balance=14420.38000000, margin=0.0
2025-07-17 23:38:51,105 - ERROR - cache - Cache verification failed for user 13: expected balance=94.25000000, margin=0.0, cached balance=94.25000000, margin=0.0
2025-07-17 23:38:51,119 - ERROR - cache - Cache verification failed for user 14: expected balance=9902.02000000, margin=9494.47, cached balance=9902.02000000, margin=9494.47
2025-07-17 23:38:51,132 - ERROR - cache - Cache verification failed for user 16: expected balance=0E-8, margin=0.0, cached balance=0E-8, margin=0.0
2025-07-17 23:38:51,142 - ERROR - cache - Cache verification failed for user 17: expected balance=26302.98000000, margin=0.0, cached balance=26302.98000000, margin=0.0
2025-07-17 23:38:51,153 - ERROR - cache - Cache verification failed for user 18: expected balance=17323.75000000, margin=0.0, cached balance=17323.75000000, margin=0.0
2025-07-17 23:38:51,161 - ERROR - cache - Cache verification failed for user 19: expected balance=9610.04000000, margin=0.0, cached balance=9610.04000000, margin=0.0
2025-07-17 23:38:51,170 - ERROR - cache - Cache verification failed for user 20: expected balance=8712.00000000, margin=0.0, cached balance=8712.00000000, margin=0.0
2025-07-17 23:38:51,177 - ERROR - cache - Cache verification failed for user 21: expected balance=0E-8, margin=0.0, cached balance=0E-8, margin=0.0
2025-07-17 23:38:51,186 - ERROR - cache - Cache verification failed for user 22: expected balance=5961.56000000, margin=0.0, cached balance=5961.56000000, margin=0.0
2025-07-17 23:38:51,193 - ERROR - cache - Cache verification failed for user 23: expected balance=1000000.00000000, margin=0.0, cached balance=1000000.00000000, margin=0.0
2025-07-17 23:38:51,202 - ERROR - cache - Cache verification failed for user 25: expected balance=250000.00000000, margin=0.0, cached balance=250000.00000000, margin=0.0
2025-07-17 23:38:51,209 - ERROR - cache - Cache verification failed for user 26: expected balance=184345.81000000, margin=146484.47, cached balance=184345.81000000, margin=146484.47
2025-07-17 23:38:51,244 - ERROR - cache - Cache verification failed for user 1: expected balance=17009.69000000, margin=16907.79, cached balance=17009.69000000, margin=16907.79
2025-07-17 23:38:51,254 - ERROR - cache - Cache verification failed for user 2: expected balance=100000.00000000, margin=0.0, cached balance=100000.00000000, margin=0.0
2025-07-17 23:38:51,264 - ERROR - cache - Cache verification failed for user 3: expected balance=100000.00000000, margin=0.0, cached balance=100000.00000000, margin=0.0
2025-07-17 23:38:51,277 - ERROR - cache - Cache verification failed for user 5: expected balance=100000.00000000, margin=0.0, cached balance=100000.00000000, margin=0.0
2025-07-17 23:38:51,287 - ERROR - cache - Cache verification failed for user 6: expected balance=100000.00000000, margin=0.0, cached balance=100000.00000000, margin=0.0
2025-07-17 23:38:51,305 - ERROR - cache - Cache verification failed for user 12: expected balance=99984.34000000, margin=0.0, cached balance=99984.34000000, margin=0.0
2025-07-17 23:38:51,684 - WARNING - cache - User 5 (type: live) not found in DB. Cannot cache.
2025-07-17 23:38:56,843 - ERROR - cache - Cache verification failed for user 14: expected balance=9902.02000000, margin=9494.47, cached balance=9902.02000000, margin=9494.47
