2025-06-29 22:04:25,493 - pending_orders - INFO - Starting the pending order checker background task.
2025-06-29 22:06:20,483 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:33,097 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:33,435 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:34,567 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:36,784 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:40,478 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:49,077 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:49,415 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:49,968 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:06:58,939 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:03,075 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:03,394 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:05,051 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:05,381 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:05,704 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:07,367 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:07,719 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:08,006 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:09,760 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:10,069 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:10,385 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:12,015 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:12,365 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:12,833 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:14,604 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:14,936 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:16,793 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:17,124 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:19,223 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
