connection_id,message_number,timestamp,message_type,message_size,time_since_connection,content_preview
1,1,1751869920.680,loading,79,0.280,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
1,2,1751869928.681,market_update,8840,8.280,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
1,3,1751869929.950,market_update,5191,9.550,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085745,         ""sell"": 1.085095,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
1,4,1751869933.460,market_update,5195,13.060,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
2,1,1751869920.775,loading,79,0.273,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
2,2,1751869928.708,market_update,8840,8.206,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
2,3,1751869929.959,market_update,5191,9.457,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085745,         ""sell"": 1.085095,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
2,4,1751869933.474,market_update,5195,12.972,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
3,1,1751869920.891,loading,79,0.275,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
3,2,1751869928.819,market_update,8840,8.203,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
3,3,1751869933.256,market_update,5195,12.640,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
4,1,1751869921.003,loading,79,0.280,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
4,2,1751869928.856,market_update,8842,8.134,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
4,3,1751869933.260,market_update,5195,12.537,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
5,1,1751869921.109,loading,79,0.282,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
5,2,1751869928.960,market_update,8842,8.133,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
5,3,1751869933.269,market_update,5195,12.442,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
6,1,1751869921.217,loading,79,0.282,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
6,2,1751869929.051,market_update,8842,8.116,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
6,3,1751869933.285,market_update,5195,12.350,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
7,1,1751869921.317,loading,79,0.272,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
7,2,1751869929.034,market_update,8842,7.989,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
7,3,1751869933.292,market_update,5195,12.247,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
8,1,1751869921.470,loading,79,0.323,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
8,2,1751869929.084,market_update,8842,7.937,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
8,3,1751869933.314,market_update,5195,12.166,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
9,1,1751869921.531,loading,79,0.284,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
9,2,1751869929.110,market_update,8842,7.862,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
9,3,1751869933.382,market_update,5195,12.135,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""EURUSD"": {         ""buy"": 1.085435,         ""sell"": 1.084785,         ""spread"": 6.5       },       ""GBPUSD"": {         ""buy"": 1.2..."
10,1,1751869921.642,loading,79,0.291,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
10,2,1751869929.838,market_update,8842,8.486,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
11,1,1751869921.749,loading,79,0.295,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
11,2,1751869929.906,market_update,8842,8.452,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
12,1,1751869921.845,loading,79,0.290,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
12,2,1751869929.946,market_update,8842,8.390,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
13,1,1751869921.931,loading,79,0.275,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
13,2,1751869930.016,market_update,8842,8.359,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
14,1,1751869922.040,loading,79,0.279,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
14,2,1751869930.066,market_update,8842,8.305,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
15,1,1751869922.147,loading,79,0.283,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
15,2,1751869930.086,market_update,8842,8.222,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
16,1,1751869922.267,loading,79,0.288,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
16,2,1751869930.161,market_update,8842,8.183,"{   ""type"": ""market_update"",   ""data"": {     ""market_prices"": {       ""GBPSEK"": {         ""buy"": 13.0278,         ""sell"": 13.0248,         ""spread"": 0.0       },       ""EURPLN"": {         ""buy"": 4.248..."
17,1,1751869922.376,loading,79,0.288,"{   ""type"": ""loading"",   ""message"": ""Initializing connection, please wait..."" }"
